         313289 function calls (304066 primitive calls) in 4.792 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2285    0.002    0.000    0.005    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:2277(children)
      104    0.004    0.000    0.004    0.000 {method 'read' of '_io.BufferedReader' objects}
    74/51    0.000    0.000    0.004    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\typing.py:487(__getitem__)
       77    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
      542    0.002    0.000    0.004    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:551(register_parameter)
        3    0.000    0.000    0.004    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\urllib3\util\ssl_.py:259(create_urllib3_context)
      111    0.001    0.000    0.004    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\enum.py:500(__prepare__)
       58    0.000    0.000    0.004    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\typing.py:1423(__getitem__)
        1    0.000    0.000    0.004    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\tools\tlbparser.py:1(<module>)
      131    0.000    0.000    0.004    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\activation.py:96(__init__)
      114    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:481(cache_from_source)
        1    0.000    0.000    0.004    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:1(<module>)
