         1454607 function calls (1304232 primitive calls) in 56.322 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      227    0.073    0.000    0.111    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:203(generateBoundingBox)
        2    0.101    0.050    0.101    0.050 {built-in method time.sleep}
 2050/322    0.002    0.000    0.099    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:139(__setattr__)
      120    0.004    0.000    0.096    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_post_coinit\unknwn.py:215(_make_methods)
      110    0.001    0.000    0.095    0.001 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:309(crop_resize)
     1532    0.088    0.000    0.088    0.000 {method 'copy_' of 'torch._C.TensorBase' objects}
      798    0.005    0.000    0.085    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\comtypes\_memberspec.py:483(add)
       94    0.085    0.001    0.085    0.001 {method 'read' of 'cv2.VideoCapture' objects}
        4    0.000    0.000    0.082    0.020 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\socket.py:946(getaddrinfo)
        4    0.081    0.020    0.081    0.020 {built-in method _socket.getaddrinfo}
       18    0.000    0.000    0.078    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:92(__init__)
        1    0.000    0.000    0.077    0.077 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:29(buildDriver)
        1    0.000    0.000    0.077    0.077 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\pyttsx3\drivers\sapi5.py:34(__init__)
       18    0.000    0.000    0.076    0.004 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\linear.py:105(reset_parameters)
      810    0.003    0.000    0.076    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:114(WINFUNCTYPE)
      232    0.064    0.000    0.075    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\facenet_pytorch\models\utils\detect_face.py:292(rerec)
     4018    0.005    0.000    0.072    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\api_core\page_iterator.py:128(__next__)
     7784    0.029    0.000    0.068    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\torch\nn\modules\module.py:1690(__setattr__)
      342    0.068    0.000    0.068    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\ctypes\__init__.py:129(WinFunctionType)
     4012    0.010    0.000    0.065    0.000 C:\Users\PC\AppData\Local\Programs\Python\Python312\Lib\site-packages\google\cloud\storage\bucket.py:109(_item_to_blob)
